título;título_alternativo;criador;contribuidor;assunto;resumo;descrição;editora;edição;data;tipo;identificador;fonte;idioma;cobertura;nível_de_educação_da_audiência;extensão;direitos;citação_bibliográfica;arquivo;coleção;cleaned_titulo;cover_url
Aguemon;;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, Mitologia iorubá, Criação do mundo;É o mito da criação do mundo contado desde os tempos mais antigos pelo povo Iorubá. Aguemon é o mensageiro dos deuses. É quem vem habitar a terra antes mesmo do ser humano. Ele é o saber. E o saber vem do silêncio, pois é observando que se aprende.;;Martins Fontes ;1ª;2002;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/236718?guid=1716211725649&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211725649%26quantidadePaginas%3d1%26codigoRegistro%3d236718%23236718&i=1;pt-BR;;infantojuvenil;56;;CUNHA, Carolina. Aguemon. São Paulo: Editora Martins Fontes, 2002.;https://acervo.bn.gov.br/sophia_web/capa/capa/236718;Afro-brasileira;_aguemon_;https://acervo.bn.gov.br/sophia_web/capa/capa/236718
Ifá, o Adivinho;;Reginaldo Prandi;Pedro Rafael;Culturas afro-brasileiras, Orixás, Mitologia iorubá, Adivinhação;Em tempos antigos, na África negra, um adivinho chamado Ifá jogava seus búzios mágicos e desvendava o destino das pessoas que o consultavam. Acreditava que tudo na vida tinha solução e sempre que lhe traziam um problema, ele se lembrava de alguma história antiga que ensinava para que o problema fosse resolvido.;;Cia das Letrinhas;1ª;2002;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/954709?guid=1716211814934&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211814934%26quantidadePaginas%3d1%26codigoRegistro%3d954709%23954709&i=1;pt-BR;;infantojuvenil;64;;PRANDI, Reginaldo. Ifá, o adivinho. São Paulo: Editora Cia das Letrinhas, 2002.;https://acervo.bn.gov.br/sophia_web/capa/capa/954709;Afro-brasileira;_ifá__o_adivinho_;https://acervo.bn.gov.br/sophia_web/capa/capa/954709
Xangô, o Trovão;;Reginaldo Prandi;Pedro Rafael;Culturas afro-brasileiras, Orixás, Mitologia iorubá;Quando vieram escravizados para o Brasil, os negros africanos trouxeram um conjunto de tradições, costumes, crenças, santos e deuses. O livro fala não somente dos mitos de Xangô, o deus do trovão e um dos deuses do panteão iorubá, mas também de outras divindades.;;Cia das Letrinhas;1ª;2003;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1032704?guid=1716211863471&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211863471%26quantidadePaginas%3d1%26codigoRegistro%3d1032704%231032704&i=1;pt-BR;;infantojuvenil;64;;PRANDI, Reginaldo. Xangô, o Trovão. São Paulo: Editora Cia das Letrinhas, 2003.;https://acervo.bn.gov.br/sophia_web/capa/capa/1032704;Afro-brasileira;_xangô__o_trovão_;https://acervo.bn.gov.br/sophia_web/capa/capa/1032704
Histórias mal-assombradas do tempo da escravidão;;Adriano Messias;Andréa Corbani;Culturas afro-brasileira, escravizados, lendas da cultura popular;André ouve as histórias horripilantes de sua amiga Bá Maria, última filha de um casal de escravos libertos em 1888. A velha negra conta histórias assutadoras como lendas de caiporas, lobisomem, porcos enfeitiçados e até mesmo o temível Quibungo.;;Biruta ;5ª;2011;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/133672?guid=1716212125472&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716212125472%26quantidadePaginas%3d1%26codigoRegistro%3d133672%23133672&i=1;pt-BR;;infantojuvenil;116;;MESSIAS, Adriano. Histórias mal-assombradas do tempo da escravidão. São Paulo : Editora Biruta, 2011.;https://acervo.bn.gov.br/sophia_web/capa/capa/133672;Afro-brasileira;_histórias_mal-assombradas_do_;https://acervo.bn.gov.br/sophia_web/capa/capa/133672
Maracatu;;Sonia Rosa ;Rosinha Campos;Culturas afro-brasileira, maracatu, cultura bantu, festas populares, tambores;O maracatu é uma festa criada pelos negros escravos bantos, que vieram do Congo. Eles elegiam um casal de líderes — um rei e uma rainha — e encenavam uma visita aos portugueses, com vestimentas luxuosas, dançando e tocando tambores.;;Pallas ;1ª;2004;Físico;853470368X;https://pallaseditora.com.br/produto/Maracatu/145/;pt-BR;;infantojuvenil;16;;ROSA, Sonia. Maracatu. Rio de Janeiro: Editora Pallas, 2004.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/117958?guid=1726343761654&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726343761654%26quantidadePaginas%3d1%26codigoRegistro%3d117958%23117958&i=2;Afro-brasileira;_maracatu_;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/117958?guid=1726343761654&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726343761654%26quantidadePaginas%3d1%26codigoRegistro%3d117958%23117958&i=2
O Tabuleiro da Baiana;;Sonia Rosa ;Rosinha Campos;Culturas afro-brasileiras, culinária, tradição baiana;A obra traz para o universo infantil a graça e o encanto desse personagem tão típico do cenário brasileiro: a vendedoras de quitutes que ficaram conhecidas em todo o país como “baianas”. As roupas, o tabuleiro e os pratos típicos da culinária baiana são sua “marca registrada”.;;Pallas ;1ª;2006;Físico;;https://pallaseditora.com.br/produto/O_tabuleiro_da_baiana/148/;pt-BR;;infantojuvenil;16;;ROSA, Sonia. O tabuleiro da baiana. Rio de Janeiro: Editora Pallas, 2006.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/186602?guid=1726344023424&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726344023424%26quantidadePaginas%3d1%26codigoRegistro%3d186602%23186602&i=16;Afro-brasileira;_o_tabuleiro_da_baiana_;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/186602?guid=1726344023424&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726344023424%26quantidadePaginas%3d1%26codigoRegistro%3d186602%23186602&i=16
Capoeira;;Sonia Rosa ;Rosinha Campos;Culturas afro-brasieiras, Capoeira ,Angola, Brasil, Escravidão;O primeiro livro da coleção Lembranças Africanas traz todo o encanto da capoeira, luta gingada que surgiu no Brasil, a partir dos negros bantos de Angola, que vieram para o Brasil como escravos ― uma forma de defesa nas lutas contra a escravidão.;;Pallas ;1ª;2004;Físico;;https://pallaseditora.com.br/produto/Capoeira/144/;pt-BR;;infantojuvenil;16;;ROSA,Sonia. Capoeira. Rio de Janeiro: Editora Pallas, 2004.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/117956?guid=1726344221459&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726344221459%26quantidadePaginas%3d2%26codigoRegistro%3d117956%23117956&i=45;Afro-brasileira;_capoeira_;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/117956?guid=1726344221459&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726344221459%26quantidadePaginas%3d2%26codigoRegistro%3d117956%23117956&i=45
Jongo;;Sonia Rosa ;Rosinha Campos;Culturas afro-brasileiras, jongo, música, tradição africana ;"O terceiro volume da coleção Lembranças Africanas conta a história do jongo, música e dança criadas pelos escravos nos terreiros das fazendas do Rio de Janeiro, São Paulo e Minas Gerais, e precursoras do nosso conhecido samba. As alegres imagens de Rosinha Campos, ""dançam"" ao ritmo dessa tradição.";;Pallas ;1ª;2004;Físico;;https://pallaseditora.com.br/produto/Jongo/146/;pt-BR;;infantojuvenil;16;;ROSA, Sonia. Jongo. Rio de Janeiro: Editora Pallas, 2004.;;Afro-brasileira;_jongo_;
Feijoada;;Sonia Rosa ;Rosinha Campos;Culturas afro-brasileiras, culinária, feijoada, ancestralidade ;O livro conta como uma iguaria originalmente trazida pelos portugueses ― feijão com miúdos de porco ― foi adotada pelos escravos, que a ela adicionaram outros sabores: feijão-mulatinho e preto do Brasil, arroz, couve, farofa, laranjas.;;Pallas ;1ª;2005;Físico;;https://pallaseditora.com.br/produto/Feijoada/147/;pt-BR;;infantojuvenil;16;;ROSA, Sonia. Feijoada. Rio de Janeiro: Editora Pallas, 2005.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/186091?guid=1726344867468&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726344867468%26quantidadePaginas%3d1%26codigoRegistro%3d186091%23186091&i=2;Afro-brasileira;_feijoada_;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/186091?guid=1726344867468&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726344867468%26quantidadePaginas%3d1%26codigoRegistro%3d186091%23186091&i=2
 Falando Banto;;Eneida Duarte Gaspar;Victor Tavares;Culturas afro-brasileiras, cultura banto, palavras de origem africana;Este livro mostra, em dez poemas, como, ao tratar de coisas simples do cotidiano, estamos Falando banto! O vocabulário é uma das contribuições africanas ao nosso país. Acompanha um glossário com as palavras de origem banta presentes nos textos.;;Pallas ;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/187452?guid=1716212678916&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716212678916%26quantidadePaginas%3d1%26codigoRegistro%3d187452%23187452&i=2;pt-BR;;infantojuvenil;28;;GASPAR, Eneida Duarte. Falando Banto. Rio de Janeiro: Editora Pallas, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/187452;Afro-brasileira;__falando_banto_;https://acervo.bn.gov.br/sophia_web/capa/capa/187452
Contos e lendas afro-brasileiros: a criação do mundo;;Reginaldo Prandi;Joana Lira;Culturas afro-brasileiras, mitologia iorubá, orixás;Capturados e transportados ao Brasil como escravos, os africanos trouxeram consigo seus contos e suas lendas. Entre eles está a sua versão mítica da criação do mundo, narrada em histórias repletas de aventuras comoventes e até mesmo engraçadas.;;Seguinte;2ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/232343?guid=1716212725258&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716212725258%26quantidadePaginas%3d1%26codigoRegistro%3d232343%23232343&i=4;pt-BR;;infantojuvenil;224;;PRANDI, Reginaldo. Contos e Lendas Afro-Brasileiros: a Criação do Mundo. São Paulo: Editora Seguinte. 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/232343;Afro-brasileira;_contos_e_lendas_afro-brasilei;https://acervo.bn.gov.br/sophia_web/capa/capa/232343
Eleguá;;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, orixás, mitologia iorubá, Exu;Eleguá é o mais poderoso dos orixás e o menor de todos eles, porque é uma criança. Guardião das portas das casas e detentor das chaves do Céu e da Terra, trabalha como espião e mensageiro dos demais orixás e pode influir nos acontecimentos, é o orixá dos destinos. No Brasil também é conhecido como Exu Elegbára.;;SM;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/181165?guid=1716212817910&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716212817910%26quantidadePaginas%3d1%26codigoRegistro%3d181165%23181165&i=1;pt-BR;;infantojuvenil;64;;CUNHA,Carolina. Eleguá. São Paulo: Editora SM, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/181165;Afro-brasileira;_eleguá_;https://acervo.bn.gov.br/sophia_web/capa/capa/181165
Yemanjá;;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, orixás, mitologia iorubá, Yemanjá;Yemanjá, rainha das águas, é um orixá muito conhecido e respeitado. Na África, é a deusa dos antigos Egbá, povo nigeriano de língua yorubá, representada por uma mulher grávida. No Brasil e em Cuba, é uma sereia, a quem se fazem oferendas, especialmente nas comunidades que vivem à beira-mar. Em 2 de fevereiro, realiza-se a festa em sua homenagem, atraindo multidões às praias brasileiras.;;SM;1ª;2007;Físico;857675181X;https://www.amazon.com.br/Yemanj%C3%A1-Carolina-Cunha/dp/857675181X/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1QMGOTAOWZASP&dib=eyJ2IjoiMSJ9.rVKbc5R6TyYzJAn34MNMVgjMjKnlZN2pttQlAlZ75nZ736s76HGOIF9RtS3msDfjFchqDw2eiZRK0aKiQq1CTfXCxzUnmKbKHQQMP1pPFzG9J_OvqAu4HJeHAADiz4bww_Y41oyTwpxs4datnMFJlw.VOYvvftzLUrV-LE8QJ4Xm8tpwdUYaK-m-0fNgb2AX3s&dib_tag=se&keywords=Yemanj%C3%A1+carolina&qid=1716212953&sprefix=yemanj%C3%A1+carolina%2Caps%2C318&sr=8-1;pt-BR;;infantojuvenil;64;;CUNHA, Carolina. Yemanjá. São Paulo: Editora SM: 2007.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/181164?guid=1726347645235&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726347645235%26quantidadePaginas%3d1%26codigoRegistro%3d181164%23181164&i=9;Afro-brasileira;_yemanjá_;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/181164?guid=1726347645235&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726347645235%26quantidadePaginas%3d1%26codigoRegistro%3d181164%23181164&i=9
Berimbau mandou te chamar;;Bia Hetzel;Mariana Massarani;Culturas afro-brasileiras, capoeira, berimbau;Álbum ilustrado para estimular a curiosidade e a leitura autônoma da criança em fase de alfabetização, traz vários versos de cantigas de capoeira, o toque mágico dos berimbaus e, no final, apresenta a história do surgimento e da difusão da capoeira como luta afro-brasileira.;;Manati;1ª;2008;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/230147?guid=1716213012589&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213012589%26quantidadePaginas%3d1%26codigoRegistro%3d230147%23230147&i=1;pt-BR;;infantil;27;;HETZEL,Bia. Berimbau mandou te chamar. São Paulo: Editora Manati,2008.;https://acervo.bn.gov.br/sophia_web/capa/capa/230147;Afro-brasileira;_berimbau_mandou_te_chamar_;https://acervo.bn.gov.br/sophia_web/capa/capa/230147
ABC afro-brasileiro;;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, palavras de origem africana;Axé, capoeira,dendê, ebó, Levante dos Malês, Menininha do Gantois e Yemanjá são alguns dos verbetes desse ABC, que compõe um retrato da herança africana na cultura brasileira, resgatando valores, costumes, tradições.;;SM;1ª;2009;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/246218?guid=1716213056925&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213056925%26quantidadePaginas%3d1%26codigoRegistro%3d246218%23246218&i=1;pt-BR;;infantojuvenil;48;;CUNHA, Carolina. ABC afro-brasileiro. São Paulo: Editora SM, 2009.;https://acervo.bn.gov.br/sophia_web/capa/capa/246218;Afro-brasileira;_abc_afro-brasileiro_;https://acervo.bn.gov.br/sophia_web/capa/capa/246218
Os tesouros de Monifa;;Sonia Rosa ;Rosinha Campos;Culturas afro-brasileiras, ancestralidade africana, escravidão;Fala do encontro de uma brasileirinha afrodescendente com sua tataravó, Monifa, que chegou aqui em um navio negreiro. Mesmo escravizada, aprendeu a escrever e, por meio das letras que aprendeu, deixou o maior de todos os tesouros que alguém pode herdar. Passado de geração em geração, chega o dia desse tesouro ir para as mãos de Monifa, que descobre a vida da sua tataravó e as suas próprias raízes.;;Brinque-Book;1ª;2009;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/228816?guid=1716213102081&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213102081%26quantidadePaginas%3d1%26codigoRegistro%3d228816%23228816&i=1;pt-BR;;infantojuvenil;29;;ROSA, Sonia. Os tesouros de Monifa, São Paulo: Brinque-Book, 2009.;https://acervo.bn.gov.br/sophia_web/capa/capa/228816;Afro-brasileira;_os_tesouros_de_monifa_;https://acervo.bn.gov.br/sophia_web/capa/capa/228816
As gueledés: a festa das máscaras;;Raul Lody;Raul Lody;Culturas afro-brasileiras, máscaras africanas;São histórias de um tempo longínquo sobre o poder de luta da mulher africana presente até os nossos dias nas mulheres afrodescendentes. São mães africanas representadas nas máscaras que se transformam em ratos, pássaros e até mesmo em morcegos. Elas podem ser notadas no nosso dia a dia, nas palavras que usamos, na música, na dança, nas religiões, no artesanato e, especialmente, na culinária.;;Pallas ;1ª;2010;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/270813?guid=1716213146384&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213146384%26quantidadePaginas%3d1%26codigoRegistro%3d270813%23270813&i=1;pt-BR;;infantojuvenil;23;;LODY, Raul. As gueledés : a festa das máscaras. Rio de Janeiro: Pallas, 2010.;https://acervo.bn.gov.br/sophia_web/capa/capa/270813;Afro-brasileira;_as_gueledés__a_festa_das_másc;https://acervo.bn.gov.br/sophia_web/capa/capa/270813
Histórias da Cazumbinha;;Meire Cazumbá,  Marie Ange Bordas;Marie Ange Bordas;Culturas afro-brasileiras, Quilombolas, Bahia;Fala da história da menina chamada Cazumbinha. Ela nasceu no interior da Bahia, às margens do rio São Francisco, em um lugar muito especial: uma comunidade quilombola. Lá ela cresceu cantando, tomando banho de rio, pegando frutas na mata, subindo em árvore, correndo de boi.;;Companhia das Letrinhas;1ª;2010;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/294203?guid=1716213192966&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213192966%26quantidadePaginas%3d1%26codigoRegistro%3d294203%23294203&i=1;pt-BR;;infantojuvenil;71;;BORDAS, Marie Ange. CAZUMBÁ, Meire. Histórias da Cazumbinha. São Paulo: Companhia das Letrinhas, 2010.;https://acervo.bn.gov.br/sophia_web/capa/capa/294203;Afro-brasileira;_histórias_da_cazumbinha_;https://acervo.bn.gov.br/sophia_web/capa/capa/294203
O marimbondo do quilombro;;Heloisa Pires Lima;Rubem Filho;Culturas afro-brasileiras, gingas, lendas;A ginga do muleke é fazer o carcará o levar de volta ao reino de Zambi. Foi num cochilo que as garras do pássaro o retiraram de lá. Daí, a busca por algo perdido - o muleke, o seu reino, o carcará, o seu calango. E o marimbondo? Este registra a história para não a perder também.;;Amarilys;1ª;2010;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/315628?guid=1716213229381&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213229381%26quantidadePaginas%3d1%26codigoRegistro%3d315628%23315628&i=1;pt-BR;;infantojuvenil;20;;LIMA, Heloisa Pires. O marimbondo do quilombro. Barueri, SP: Amarilys, 2010.;https://acervo.bn.gov.br/sophia_web/capa/capa/315628;Afro-brasileira;_o_marimbondo_do_quilombro_;https://acervo.bn.gov.br/sophia_web/capa/capa/315628
Mestre gato e comadre onça: uma história capoeira recontada;;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, capoeira, berimbau;Mestre gato, exímio capoeirista, se aventura no mundo com seu berimbau. Se embrenha na mata e e se depara com uma clareira ajeitada, boa para botar capoeira. Instala-se ali e coloca uma placa nessa árvore oferecendo aulas e logo chegam curiosos vários animais. “Venham vadiar, vamos jogar capoeira!”, convida ele. Mas eles temem a onça enorme que anda cercando a área.;;SM;1ª;2011;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/291521?guid=1716213271132&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213271132%26quantidadePaginas%3d1%26codigoRegistro%3d291521%23291521&i=1;pt-BR;;infantojuvenil;63;;CUNHA, Carolina. Mestre gato e comadre onça: uma história capoeira recontada.São Paulo: Edições SM, 2011.;https://acervo.bn.gov.br/sophia_web/capa/capa/291521;Afro-brasileira;_mestre_gato_e_comadre_onça__u;https://acervo.bn.gov.br/sophia_web/capa/capa/291521
O fio d'água do quilombo : uma narrativa do Zambeze no Amazonas?;;Heloisa Pires Lima, Willivane Ferreira de Melo, Águida Maria Araújo de Vasconcelos;Não consta;Culturas afro-brasileiras, Amazonas, Rio Zambeze, lendas, quilombos;Fala de uma lenda amazônica muito semelhante ao do rio Zambeze africano, que conta do sumiço de ribeirinhos levados para o fundo das águas, e devolvidos com folhagens mágicas que fazem nascer o extraordinário curandeiro.;;Prumo;1ª;2013;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/954033?guid=1716213312550&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213312550%26quantidadePaginas%3d1%26codigoRegistro%3d954033%23954033&i=1;pt-BR;;infantojuvenil;63;;LIMA, Heloisa Pires, MELO, Willivane Ferreira de, VACONCELOS, Águida Maria Araújo de. O fio d'água do quilombo : uma narrativa do Zambeze no Amazonas?, São Paulo: Prumo, 2013.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/954033?guid=1726348771782&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726348771782%26quantidadePaginas%3d1%26codigoRegistro%3d954033%23954033&i=1;Afro-brasileira;_o_fio_d_água_do_quilombo___um;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/954033?guid=1726348771782&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726348771782%26quantidadePaginas%3d1%26codigoRegistro%3d954033%23954033&i=1
O mar que banha a ilha de Goré;;Kiusam de Oliveira;Taisa Borges;Culturas afro-brasileiras, escravizados, ancestralidade;Neste livro, o leitor fará o caminho inverso das viagens empreendidas pelos africanos escravizados a partir do século XVI. Pelas mãos de Kika, ele conhecerá uma terra rica e cheia de histórias, e poderá encontrar o caminho para compreender a história afro-brasileira e ajudar a delicadamente incluir o negro e sua trajetória traumática no imaginário da formação da cultura brasileira.;;Peirópolis;1ª;2014;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1054864?guid=1716213830858&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213830858%26quantidadePaginas%3d1%26codigoRegistro%3d1054864%231054864&i=2;pt-BR;;infantojuvenil;44;;OLIVEIRA, Kiusam de. O mar que banha a ilha de Goré. São Paulo: [S.l.] : Editora Peirópolis : Fundação Biblioteca Nacional, 2014.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1842042?guid=1726349624284&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726349624284%26quantidadePaginas%3d1%26codigoRegistro%3d1842042%231842042&i=3;Afro-brasileira;_o_mar_que_banha_a_ilha_de_gor;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1842042?guid=1726349624284&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726349624284%26quantidadePaginas%3d1%26codigoRegistro%3d1842042%231842042&i=3
 Modupé, meu amigo ;;Stefania Capone, Leonardo Carneiro;Victor Tavares;Culturas afro-brasileiras, Candomblé, umbanda;Anderson e Fabinho planejam uma viagem à praia, e as novidades do lugar mudarão a vida de Anderson. A descoberta das festas de matriz africana desperta a curiosidade em saber mais sobre as origens das palavras e sobre as divindades pertencentes à umbanda e ao candomblé. Guiado pelo amigo, ele irá perceber a beleza da diversidade dos cultos brasileiros e a riqueza de uma religião ainda pouco compreendida e vítima de preconceito em boa parte do Brasil.;;Pallas ;1ª;2015;Físico;;https://pallaseditora.com.br/produto/Modupe__meu_amigo/282/;pt-BR;;infantojuvenil;40;;CAPONE, Stefania, CARNEIRO, Leonardo. Modupé, meu amigo. Rio de Janeiro: Pallas, 2015.;https://pallaseditora.com.br/admin/_m2brupload/produtos/282/562_med.jpg;Afro-brasileira;__modupé__meu_amigo_;https://pallaseditora.com.br/admin/_m2brupload/produtos/282/562_med.jpg
Aimó: uma viagem pelo mundo dos orixás;;Reginaldo Prandi;Rimon Guimarães;Culturas afro-brasileiras, orixás, mitologia iorubá;Fala da história de Aimó, que significa “a menina que ninguém sabe quem é”, nascida na África e levada para o Brasil para ser escrava, e que de repente acorda em um lugar estranho, habitado pelos deuses orixás e pelos espíritos dos mortos que aguardam o momento de seu renascimento.;;Seguinte;1ª;2017;Físico;;https://www.amazon.com.br/Aim%C3%B3-Reginaldo-Prandi/dp/8555340403/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2NMP51G7SBZC9&dib=eyJ2IjoiMSJ9.imA15ZP4o2K8VXcoq5zmCg.KNIbR338bSFlUro1ItE8rC7PJh5YGRJyrIv6qoypN58&dib_tag=se&keywords=aim%C3%B3%3A+uma+viagem+pelo+mundo+dos+orix%C3%A1s&qid=1716222101&sprefix=aim%C3%B3+uma+viagem+pelo+mundo+dos+orix%C3%A1s%2Caps%2C368&sr=8-1;pt-BR;;infantojuvenil;258;;PRANDI, Reginaldo. Aimó: uma viagem pelo mundo dos orixás.São Paulo: Seguinte, 2017.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1687275?guid=1726350049131&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726350049131%26quantidadePaginas%3d1%26codigoRegistro%3d1687275%231687275&i=1;Afro-brasileira;_aimó__uma_viagem_pelo_mundo_d;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1687275?guid=1726350049131&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726350049131%26quantidadePaginas%3d1%26codigoRegistro%3d1687275%231687275&i=1
Meu avô é um tata;;Janaina de Figueiredo;Bruna Lubambo;Culturas afro-brasileiras, ancestralidade, religiões afro-brasileiras;É a história de um avô, homem muito sábio. Ele tem sensibilidade para compreender as pessoas e as forças da natureza, pois é um líder de religiões afro-brasileiras.;;Pallas ;1ª;2018;Físico;;https://pallaseditora.com.br/produto/Meu_avo_e_um_Tata/307/;pt-BR;;infantojuvenil;36;;FIGUEIREDO, Janaína de. Meu avô é um Tata. Rio de Janeiro: Pallas, 2018.;https://pallaseditora.com.br/admin/_m2brupload/produtos/307/656_med.jpg;Afro-brasileira;_meu_avô_é_um_tata_;https://pallaseditora.com.br/admin/_m2brupload/produtos/307/656_med.jpg
Sapatinho de Makota;;Janaina de Figueiredo;Camilo Martins;Culturas afro-brasileiras, terreiros, ancestralidade;O livro conta a história de um sapatinho muito simples, que não imaginava que um dia teria a honra de servir à majestade do terreiro, a Makota.;;Pallas ;1ª;2022;Físico;;https://pallaseditora.com.br/produto/Sapatinho_de_Makota/338/;pt-BR;;infantojuvenil;32;;FIGUEIREDO, Janaína de. Sapatinho de Makota. Rio de Janeiro: Pallas, 2022.;https://pallaseditora.com.br/admin/_m2brupload/produtos/338/733_med.jpg;Afro-brasileira;_sapatinho_de_makota_;https://pallaseditora.com.br/admin/_m2brupload/produtos/338/733_med.jpg
O menino Nito: então, homem chora ou não?;;Sonia Rosa ;Victor Tavares;Culturas afro-brasileiras, Choro, infância, afetividade;Nito abria um berreiro por tudo e ninguém aguentava mais tanta choradeira. Um dia seu pai o chamou num canto e veio com aquele discurso: “Você é um rapazinho, já está na hora de parar de chorar à toa. E tem mais: homem que é homem não chora.” Essas palavras martelaram na cabeça do Nito.;;Pallas;4ª;2008;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/252299?guid=1716229942296&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716229942296%26quantidadePaginas%3d1%26codigoRegistro%3d252299%23252299&i=1;pt-BR;;infantil;16;;ROSA, Sonia. O menino Nito: então, homem chora ou não? Rio de Janeiro: Pallas, 2008.;https://acervo.bn.gov.br/sophia_web/capa/capa/252299;Afro-brasileira;_o_menino_nito__então__homem_c;https://acervo.bn.gov.br/sophia_web/capa/capa/252299
